spotify_id,name,artists,snapshot_date,daily_rank,daily_movement,country,danceability,energy,acousticness,speechiness,instrumentalness,valence,tempo,vibe
04emojnbYkrRmv5qtJcgVP,What I Want (feat. Tate McRae),"Morgan Wallen, Tate McRae",2025-06-11,40,1,,0.657,0.699,0.639,0.0262,0.0,0.495,115.998,Other
1UPB5rYJ0bzn6mNSoAHrZC,You'll Be in My Heart,NIKI,2025-06-11,41,-11,,0.486,0.613,0.0569,0.0394,0.00139,0.633,187.531,Classic/Evergreen
4oB8Xd7gMlUEtWoD8bmCXW,Morena,"Neton Vega, Peso Pluma",2025-06-11,42,-4,,0.697,0.776,0.379,0.0308,0.00148,0.189,118.007,Other
5ITV0zqzjOYfFWpW0xBmRa,Show Me Love,"WizTheMc, bees & honey",2025-06-11,43,-1,,0.714,0.691,0.0212,0.0434,0.000292,0.155,107.15,Other
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,2025-06-11,44,5,,0.924,0.668,0.446,0.0469,0.000594,0.787,128.027,High-Energy Pop
6393yGahSJ9slVdOwSxOVR,Pink Pony Club,Chappell Roan,2025-06-11,45,-2,,0.61,0.65,0.399,0.0474,0.0,0.507,106.719,Other
7KA4W4McWYRpgf0fWsJZWB,See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",2025-06-11,46,4,,0.558,0.559,0.371,0.0959,7.49e-06,0.62,78.558,Classic/Evergreen
6J5kc12BW5HuP3d7C3vvx8,EoO,Bad Bunny,2025-06-11,47,-2,,0.36,0.464,0.749,0.0702,0.859,0.184,63.662,Mellow Acoustic
221eHga9f9Ne4f8D7WVgPT,Mystical Magical,Benson Boone,2025-06-11,48,-1,,0.671,0.697,0.19,0.116,0.0,0.848,119.867,High-Energy Pop
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,2025-06-11,49,-3,,0.82,0.452,0.543,0.0348,0.00294,0.74,117.401,Other
0GRc3eGTg8HBdWLRGYgqIc,Azizam,Ed Sheeran,2025-06-11,50,0,,0.663,0.899,0.00255,0.0473,0.0,0.876,127.998,High-Energy Pop
7c5uGV9Rys18JP2570ykTu,Isaka (6am),"CIZA, Jazzworx, Thukuthela",2025-06-11,1,0,ZA,0.341,0.54,0.292,0.0566,0.279,0.752,176.762,Classic/Evergreen
73MJ65QLIfsU2GyCt5KQ3a,Uzizwa Kanjan (feat. GL_Ceejay),"Jazzworx, MaWhoo, Thukuthela, GL_Ceejay",2025-06-11,2,0,ZA,0.51,0.431,0.582,0.0518,0.371,0.56,118.055,Classic/Evergreen
4nP3JxLWurlrvollaDlxsJ,Mali,"Dlala Thukzin, Zee Nxumalo, SYKES",2025-06-11,3,0,ZA,0.807,0.538,0.00606,0.0518,0.00329,0.291,118.05,Emo/Sad Chill
62auSQwzIlyVuqUsxd4w63,"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)","DJ Maphorisa, Xduppy, Kabza De Small, Thatohatsi, Young Stunna, Nkosazana Daughter",2025-06-11,4,0,ZA,0.74,0.747,0.0218,0.0496,0.0037,0.542,112.992,Other
24fRfn3FOM4xk02aE4wief,Vuka (feat. Thukuthela),"Oscar Mbo, Jazzworx, Thukuthela",2025-06-11,5,3,ZA,0.738,0.455,0.175,0.0466,0.198,0.524,118.006,Other
0DGP0pRR8yz4OW2xxjIskt,Vuma Dlozi Lami (feat. Ancestral Rituals),"Issa sisdoh, Ancestral Rituals",2025-06-11,6,-1,ZA,0.675,0.619,0.00155,0.0328,0.0759,0.759,117.988,High-Energy Pop
1x4yHR7HJ0ZQCQVjXb2Vc8,UNIKHODIMA,"NHLOSO KHWELA, Shenge wasehlalankosi",2025-06-11,7,0,ZA,0.822,0.56,0.107,0.0812,0.0,0.896,129.968,Other
5JjQdivvXPrnjeEoxE16WD,Warning,"Shandesh, Shebeshxt, King Salah, Kaycherlow NLL",2025-06-11,8,-2,ZA,0.536,0.706,0.0336,0.0856,0.000201,0.82,126.787,Other
2RkZ5LkEzeHGRsmDqKwmaJ,Ordinary,Alex Warren,2025-06-11,9,0,ZA,0.368,0.694,0.704,0.06,6.59e-06,0.391,168.115,Other
2Ufc72Ojfx9lR30r5srBPB,Sdudla or Slender,"Shandesh, Mvzzle",2025-06-11,10,0,ZA,0.848,0.68,0.0915,0.0662,0.000432,0.815,127.052,High-Energy Pop
3CLA4E7HOX6MBSjZG7hyhm,Di Chopper,"Shandesh, Mvzzle, Abi wa Mampela, Naleboy Young King",2025-06-11,11,0,ZA,0.757,0.722,0.156,0.0589,0.00168,0.887,127.063,High-Energy Pop
2QVyLdd8FNg33pm5qfju1g,Sajola Kamnandi,"Sminofu, Zee Nxumalo",2025-06-11,12,3,ZA,0.668,0.943,0.0442,0.055,0.000371,0.78,155.973,High-Energy Pop
7hO6BIPeHb0Y5v9bgXoxKg,Sohlala Sisonke,"Dlala Thukzin, Zeh McGeba, MK Productions",2025-06-11,13,-1,ZA,0.715,0.765,0.124,0.0363,0.0824,0.733,118.026,High-Energy Pop
3bM6G6G4kcoeTAMdFDPKEB,Ngwanaka,"Janesh, Hitboss SA",2025-06-11,14,7,ZA,0.719,0.71,0.00791,0.0536,0.0026,0.345,127.866,Dance/EDM
2tUXE87QNnoVQZApV3uyVZ,Ngisakuthanda,"Zee Nxumalo, TBO, PYY Log Drum King, Dj Tearz, Dr Thulz",2025-06-11,15,2,ZA,0.767,0.814,0.00891,0.0555,0.000751,0.546,112.998,Other
5Qnm8kfRqAO7uYl18opkUE,Deda,Samthing Soweto,2025-06-11,16,4,ZA,0.322,0.394,0.792,0.0548,9.09e-06,0.223,86.969,Mellow Acoustic
3fD3CRxrTurrH3W4nJEt26,Ndonwabile (feat. Raspy & Babalwa M),"Kelvin Momo, Raspy, Babalwa M",2025-06-11,17,-4,ZA,0.856,0.548,0.0262,0.053,0.0347,0.323,111.997,Emo/Sad Chill
79r4mAwHBAB1x5QnImlUM6,Ncono Siyeke,"Mshinwemali, Shenge wasehlalankosi",2025-06-11,18,0,ZA,0.455,0.799,0.384,0.0359,0.0,0.868,99.729,Other
6VBfzBgHu8tFeeg2ZQO4gH,Wayengenalutho,MENZI MUSIC,2025-06-11,19,-3,ZA,0.591,0.962,0.201,0.0397,2.27e-06,0.93,68.517,Other
0OMHMgH263gIrUcszYYivV,Emhlabeni (feat. Thatohatsi & Tracy),"Kelvin Momo, Da Muziqal Chef, Thatohatsi, Tracy",2025-06-11,20,-1,ZA,0.832,0.615,0.0107,0.0588,0.0473,0.708,112.007,High-Energy Pop
0Y3kQx93aK7cVwvNn6pfoB,Soft,"Nasty C, Usimamane",2025-06-11,21,-7,ZA,0.659,0.416,0.648,0.275,0.000115,0.245,180.973,Mellow Acoustic
1SBdVvoxfFvuO6BVY9WqnI,Uvume Kanjani?,LIMIT NALA,2025-06-11,22,0,ZA,0.641,0.721,0.647,0.0272,3.79e-05,0.787,129.982,Other
2QqCjFfWbjMSRo2vscPJBr,Mamenemene,"Shandesh, DJ Janisto, King Salah",2025-06-11,23,6,ZA,0.751,0.66,0.369,0.112,3.85e-06,0.877,126.876,High-Energy Pop
5wYyy08pvNomxBKFa3Bfj6,"ZENZELE (feat. Royal MusiQ, Uncool MC, Xduppy, & CowBoii)","Uncle Waffles, Royal MusiQ, Uncool MC, Xduppy, CowBoii",2025-06-11,24,2,ZA,0.884,0.409,0.0154,0.0775,0.00166,0.723,113.037,Other
021iZJ1jjc6cZZ4sMXvcW9,Romeo & Juliet,"Naledi Aphiwe, Mawelele",2025-06-11,25,-2,ZA,0.744,0.562,0.241,0.0475,0.0179,0.691,125.989,Other
7bIDSVHXsazyMqK2Peb8FK,Amen,"Cici, Naledi Aphiwe",2025-06-11,26,-1,ZA,0.228,0.365,0.833,0.0295,5.56e-05,0.255,100.515,Mellow Acoustic
3RCMGDpJlWeEgCLhOz63oa,Ngiyakuthanda,MENZI MUSIC,2025-06-11,27,-3,ZA,0.556,0.924,0.424,0.0365,1.44e-05,0.833,136.027,Other
659qsb8NZaTuNubJDk1gaD,"Dlala Ka Yona (feat. Focalistic, Ricky Lenyora, Uncool MC & Mellow & Sleazy)","DJ Maphorisa, Xduppy, Enny Man Da Guitar, Focalistic, Ricky Lenyora, Uncool MC, Mellow & Sleazy",2025-06-11,28,0,ZA,0.871,0.664,0.00858,0.057,0.00111,0.624,112.0,High-Energy Pop
6UTWHvcKICoVo2OuD78Wxq,Abangifuni,"Romeo Makota, Eemoh",2025-06-11,29,1,ZA,0.775,0.621,0.0345,0.0416,0.0168,0.313,113.015,Other
2MSzTLwjCFUcGrxNFvU6pm,Mkhuzeni (feat. Da Muziqal Chef),"Kelvin Momo, Babalwa M, Da Muziqal Chef",2025-06-11,30,-3,ZA,0.796,0.836,0.0152,0.0531,0.0444,0.543,113.015,Other
3JW9hNUjUN51X9jZyn2HVV,Ngishutheni,"Goon Flavour, Master KG, Eemoh",2025-06-11,31,0,ZA,0.787,0.591,0.0357,0.0444,0.00703,0.716,112.032,Other
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,2025-06-11,32,3,ZA,0.747,0.507,0.2,0.0358,0.0608,0.438,104.978,Other
1y8zzw3sYud9aHmAK8ujV6,Shapa Bell (feat. King WaveMusiq),"Naleboy Young King, Shandesh, King WaveMusiq",2025-06-11,33,1,ZA,0.843,0.657,0.087,0.0978,0.0,0.811,126.977,High-Energy Pop
7vmzUiBkTNEiHoGnRIZ09f,Modimo (feat. Sir Trill & Murumba Pitch),"Kelvin Momo, Tycoon, Sir Trill, Murumba Pitch",2025-06-11,34,3,ZA,0.829,0.741,0.0109,0.0493,0.108,0.577,112.984,High-Energy Pop
2CGNAOSuO1MEFCbBRgUzjd,luther (with sza),"Kendrick Lamar, SZA",2025-06-11,35,4,ZA,0.707,0.575,0.251,0.125,0.0,0.576,138.008,Other
5tIt860TkOItU0BRafiyzd,Sigade Umzila,Mthandeni SK,2025-06-11,36,2,ZA,0.705,0.882,0.339,0.0368,0.161,0.883,89.968,High-Energy Pop
2LeOHKRLm1Bz7eeNVinUYs,Esandleni,Nontokozo Mkhize,2025-06-11,37,-1,ZA,0.477,0.683,0.0597,0.0395,0.00045,0.495,99.768,Other
6txAWGckgEGJIhLjhNdtE9,Residuals,Chris Brown,2025-06-11,38,7,ZA,0.58,0.645,0.342,0.0821,0.0,0.171,114.905,Classic/Evergreen
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,2025-06-11,39,3,ZA,0.467,0.247,0.612,0.0431,0.000271,0.126,148.101,Mellow Acoustic
21lD8ZDP6nbEAUtoSQl032,Awsukanini,Umafikizolo,2025-06-11,40,-8,ZA,0.665,0.972,0.755,0.0379,0.56,0.967,163.963,High-Energy Pop
16B7JnyBsNloQWuWHtUGu7,Ngimile Mpo,Umafikizolo,2025-06-11,41,0,ZA,0.623,0.932,0.48,0.0374,0.909,0.875,172.034,Alternative/Experimental
1blpjqXA4y03pWHnDbhs9l,Bo Gogo (feat. Tracy & Thatohatsi),"Kelvin Momo, Da Muziqal Chef, Tracy, Thatohatsi",2025-06-11,42,1,ZA,0.811,0.71,0.0147,0.0495,0.0276,0.534,113.003,Other
3LmvfNUQtglbTrydsdIqFU,We Belong Together,Mariah Carey,2025-06-11,43,4,ZA,0.833,0.467,0.0339,0.0619,0.0,0.767,139.971,Other
73XTer5tuPKNstPEW1eKwL,Naledi,"Mawelele, Naledi Aphiwe",2025-06-11,44,0,ZA,0.675,0.538,0.757,0.0289,1.83e-05,0.5,94.962,Other
4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,SZA,2025-06-11,45,5,ZA,0.559,0.551,0.141,0.132,0.0,0.392,143.008,Classic/Evergreen
60NQDPeMwd5mpfrWS5RmrB,Kgatsa dinoka,"Mabotho s, Dj Lekusto",2025-06-11,46,2,ZA,0.902,0.808,0.0673,0.0573,0.000881,0.925,131.048,High-Energy Pop
7so0lgd0zP2Sbgs2d7a1SZ,Die With A Smile,"Lady Gaga, Bruno Mars",2025-06-11,47,3,ZA,0.519,0.601,0.289,0.0317,0.0,0.498,157.964,Classic/Evergreen
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,2025-06-11,48,2,ZA,0.472,0.471,0.151,0.0603,0.0,0.219,105.029,Emo/Sad Chill
53wwaMp15eGyE12Cm7sxLa,Ungukuphila,Xolly Mncwango,2025-06-11,49,-16,ZA,0.278,0.49,0.454,0.0523,0.0,0.332,168.763,Emo/Sad Chill
1hnB525vM5GrFr5AQIXQu8,Ndisize (feat. Ami Faku),"Caiiro, Ami Faku",2025-06-11,50,-10,ZA,0.784,0.629,0.00634,0.0491,0.259,0.517,117.005,Other
2HRgqmZQC0MC7GeNuDIXHN,Seven (feat. Latto) (Explicit Ver.),"Jung Kook, Latto",2025-06-11,1,0,VN,0.79,0.831,0.312,0.044,0.0,0.872,124.987,High-Energy Pop
01qFKNWq73UfEslI0GvumE,3D (feat. Jack Harlow),"Jung Kook, Jack Harlow",2025-06-11,2,2,VN,0.853,0.824,0.0322,0.103,0.0,0.888,108.044,High-Energy Pop
1DVYafsLmcQySKkJnY4RCs,Phép Màu - Đàn Cá Gỗ Original Soundtrack,"MAYDAYs, Minh Tốc & Lam",2025-06-11,3,-1,VN,0.492,0.508,0.128,0.0355,0.0,0.249,143.857,Emo/Sad Chill
6cc5PzJUddXskJGHJINw9F,DANCING IN THE DARK,SOOBIN,2025-06-11,4,-1,VN,0.625,0.503,0.258,0.0314,1.43e-05,0.388,108.038,Other
27xkOIER6uDLKALIelHylZ,Don’t Say You Love Me,Jin,2025-06-11,5,0,VN,0.729,0.562,0.484,0.0304,0.0,0.757,111.976,Other
5WkuMbkHX7yR7nnBKCn7tV,vạn vật như muốn ta bên nhau,RIO,2025-06-11,6,0,VN,0.687,0.226,0.916,0.0321,4.81e-06,0.567,95.931,Mellow Acoustic
7G7mSV4BebkoHWwKTDvXu9,Winter Ahead (with PARK HYO SHIN),"V, Park Hyo Shin",2025-06-11,7,11,VN,0.36,0.316,0.858,0.0284,0.000212,0.229,76.844,Mellow Acoustic
4nXrVH5xwN1w6TpmP7uu8n,Exit Sign,"HIEUTHUHAI, marzuz",2025-06-11,8,0,VN,0.483,0.599,0.848,0.39,2.01e-05,0.175,75.375,Rap/Trap Vibes
3Ids3RXurYBgySph53qWnB,Từng Ngày Yêu Em,buitruonglinh,2025-06-11,9,8,VN,0.604,0.531,0.701,0.071,6.08e-05,0.425,152.995,Other
3uT8QfoX0BE8ZJa4h98LDW,Wrong Times,"Puppy, Dangrangto",2025-06-11,10,-1,VN,0.809,0.42,0.654,0.319,2.91e-06,0.521,148.048,Mellow Acoustic
2wZAvkgiOE5tyrnqhB69KA,Âm Thầm Bên Em,Sơn Tùng M-TP,2025-06-11,11,1,VN,0.5,0.462,0.883,0.0273,0.00349,0.107,140.075,Mellow Acoustic
2a5hng9yXtbjtTVVm9UviC,Mơ,Vũ Cát Tường,2025-06-11,12,3,VN,0.556,0.413,0.908,0.0791,3.38e-06,0.191,113.086,Mellow Acoustic
7fCeYpR02Q8JVuD88hJZVT,Bầu Trời Mới,"Da LAB, Minh Tốc & Lam",2025-06-11,13,-6,VN,0.464,0.709,0.511,0.0545,0.0,0.275,180.047,Other
3y66li7DIrH7HLKIZzxR5H,Lễ Đường,Kai Đinh,2025-06-11,14,7,VN,0.579,0.44,0.686,0.0428,0.0,0.507,135.877,Mellow Acoustic
31VNCmwspR7nVJ6kruUuJt,Đừng Làm Trái Tim Anh Đau,Sơn Tùng M-TP,2025-06-11,15,-2,VN,0.854,0.636,0.527,0.0406,0.0,0.858,125.512,High-Energy Pop
2Pwou3Q2Cf59RxdX2V6MgV,Có Đôi Điều,Shiki,2025-06-11,16,7,VN,0.42,0.59,0.695,0.17,0.00374,0.406,89.959,Classic/Evergreen
3CmacJj7VC4W6daC8BWd0h,Mất Kết Nối,Dương Domic,2025-06-11,17,-1,VN,0.492,0.399,0.82,0.0443,0.0,0.236,131.811,Mellow Acoustic
354swDEk1Zdo9y57fEqmRg,ĐOÁ HOA,"TeuYungBoy, BIG WIND, DONAL",2025-06-11,18,-7,VN,0.8,0.621,0.209,0.0623,0.000104,0.607,150.044,High-Energy Pop
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,2025-06-11,19,-5,VN,0.66,0.756,0.00289,0.032,0.0,0.838,116.034,High-Energy Pop
2KslE17cAJNHTsI2MI0jb2,Standing Next to You,Jung Kook,2025-06-11,20,6,VN,0.711,0.809,0.0447,0.0955,0.0,0.816,106.017,High-Energy Pop
36fgG6NiEuQXznNgf5y2Ck,một bài hát không vui mấy - Extended Version,"T.R.I, Dangrangto, DONAL",2025-06-11,21,20,VN,0.796,0.35,0.597,0.0368,3.27e-05,0.445,94.985,Other
4CUvVaAYuXtvYURLFz7EIL,Chuyện Đôi Ta (feat. Muộii),"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",2025-06-11,22,8,VN,0.517,0.467,0.724,0.0442,0.0,0.453,199.815,Mellow Acoustic
1K0HQ30Wc11okzlcnFA7Ub,Không Thể Say,HIEUTHUHAI,2025-06-11,23,-1,VN,0.675,0.635,0.246,0.0416,0.0,0.642,144.984,High-Energy Pop
4tqXSj46umlymdIxqY8zso,giá như,SOOBIN,2025-06-11,24,-5,VN,0.748,0.474,0.206,0.0354,9.43e-05,0.446,124.975,Other
0SmQ0UWeiHKQtxUej4Rem6,Tháng Năm,SOOBIN,2025-06-11,25,2,VN,0.67,0.618,0.128,0.0377,0.0,0.251,147.015,Other
4fj4Jn4nw8fGX8xdbCntJf,Sau Cơn Mưa,"CoolKid, RHYDER",2025-06-11,26,-16,VN,0.69,0.3,0.769,0.039,1.69e-06,0.646,81.983,Mellow Acoustic
4gaxEUZE4z9pJAVTSFwgQI,một đời,"14 Casper, Bon Nghiêm, buitruonglinh",2025-06-11,27,-3,VN,0.442,0.349,0.847,0.0307,1.36e-06,0.365,135.978,Mellow Acoustic
226ljdOTLM2clGpm4mZvAm,Love is,Dangrangto,2025-06-11,28,3,VN,0.69,0.291,0.207,0.0515,1.06e-06,0.584,139.126,Other
3COYA2vgfcUhDyRlVpZy5p,PHÓNG ZÌN ZÌN,"tlinh, Low G",2025-06-11,29,5,VN,0.717,0.693,0.185,0.0646,0.00171,0.445,101.996,Other
6kCU6i8iRrAAmJJ8Sj4JYC,Nắng có mang em về,"Shartnuss, Tr.D, Phankeo",2025-06-11,30,-1,VN,0.459,0.408,0.801,0.0361,0.0312,0.287,150.922,Mellow Acoustic
4wJ5Qq0jBN4ajy7ouZIV1c,APT.,"ROSÉ, Bruno Mars",2025-06-11,31,-11,VN,0.777,0.783,0.0283,0.26,0.0,0.939,149.027,High-Energy Pop
2uZmeuNAxSm7XfVIwLkhCx,nhắn nhủ,Ronboogz,2025-06-11,32,5,VN,0.762,0.295,0.954,0.035,0.00157,0.284,129.962,Mellow Acoustic
3P3rcI48wwVEgxF5vPM6pG,Buông Đôi Tay Nhau Ra,Sơn Tùng M-TP,2025-06-11,33,11,VN,0.705,0.72,0.639,0.0291,0.515,0.634,110.961,High-Energy Pop
3ZbZtdEw9U0uZW4tZItIwq,Chịu Cách Mình Nói Thua,"RHYDER, CoolKid, BAN",2025-06-11,34,-6,VN,0.604,0.737,0.16,0.0372,0.0,0.36,154.173,Other
0669gFIK8dYK9GGQ0K0QNF,Tràn Bộ Nhớ,Dương Domic,2025-06-11,35,4,VN,0.71,0.768,0.56,0.0515,0.000898,0.472,127.925,Dance/EDM
4exlWP8cokkWVCvyP3kg7c,nếu lúc đó,"tlinh, 2pillz",2025-06-11,36,-1,VN,0.627,0.591,0.344,0.0316,0.000134,0.358,140.018,Other
26zqmmkqUK6mCc87XDzPym,"CHÂN THÀNH (feat. RHYDER, Captain, Quang Hùng MasterD, WEAN & Ali Hoàng Dương)","ANH TRAI ""SAY HI"", RHYDER, CAPTAIN BOY, Quang Hùng MasterD, WEAN, Ali Hoàng Dương",2025-06-11,37,5,VN,0.35,0.599,0.545,0.0942,0.0,0.472,180.134,Classic/Evergreen
1o6cYDMHvKOfizi4d9Lqxr,id 072019,W/N,2025-06-11,38,12,VN,0.593,0.325,0.957,0.0296,0.219,0.442,110.068,Mellow Acoustic
7gSQxwCpEMjg8wb6Y3oqe7,"HÀO QUANG (feat. RHYDER, Dương Domic & Pháp Kiều)","ANH TRAI ""SAY HI"", RHYDER, Dương Domic, Pháp Kiều",2025-06-11,39,-6,VN,0.577,0.587,0.69,0.0369,0.0,0.5,131.52,Classic/Evergreen
